iter	Passed	Remaining
565	5999	4600
566	6007	4587
567	6011	4572
568	6018	4558
569	6025	4545
570	6029	4530
571	6036	4516
572	6043	4503
573	6047	4488
574	6053	4474
575	6061	4461
576	6067	4448
577	6074	4435
578	6079	4420
579	6085	4406
580	6092	4393
581	6097	4379
582	6105	4367
583	6110	4352
584	6117	4339
585	6128	4329
586	6143	4322
587	6158	4315
588	6167	4303
589	6177	4292
590	6207	4295
591	6222	4288
592	6250	4289
593	6284	4295
594	6295	4285
595	6308	4276
596	6322	4267
597	6328	4254
598	6336	4241
599	6341	4227
600	6348	4214
601	6355	4201
602	6359	4186
603	6365	4173
604	6373	4161
605	6380	4148
606	6387	4135
607	6392	4121
608	6398	4108
609	6406	4095
610	6412	4082
611	6420	4070
612	6424	4055
613	6430	4042
614	6437	4029
615	6441	4015
616	6447	4002
617	6454	3989
618	6461	3977
619	6469	3965
620	6473	3950
621	6479	3937
622	6486	3925
623	6491	3911
624	6498	3898
625	6503	3885
626	6510	3872
627	6516	3860
628	6521	3846
629	6527	3833
630	6534	3821
631	6538	3807
632	6545	3794
633	6552	3782
634	6557	3769
635	6563	3756
636	6569	3743
637	6577	3732
638	6585	3720
639	6590	3707
640	6597	3695
641	6602	3681
642	6609	3669
643	6615	3657
644	6620	3643
645	6626	3631
646	6632	3618
647	6637	3605
648	6643	3592
649	6650	3581
650	6655	3567
651	6661	3555
652	6667	3542
653	6672	3530
654	6680	3518
655	6684	3505
656	6691	3493
657	6698	3481
658	6702	3468
659	6708	3455
660	6715	3444
661	6720	3431
662	6728	3420
663	6733	3407
664	6739	3395
665	6746	3383
666	6750	3370
667	6757	3358
668	6764	3346
669	6769	3334
670	6776	3322
671	6781	3310
672	6787	3298
673	6794	3286
674	6799	3273
675	6805	3261
676	6812	3250
677	6816	3237
678	6827	3227
679	6831	3214
680	6838	3203
681	6846	3192
682	6852	3180
683	6859	3169
684	6864	3156
685	6870	3144
686	6877	3133
687	6881	3120
688	6887	3109
689	6894	3097
690	6899	3085
691	6907	3074
692	6912	3062
693	6918	3050
694	6922	3037
695	6930	3027
696	6936	3015
697	6943	3004
698	6948	2992
699	6954	2980
700	6960	2969
701	6966	2957
702	6973	2945
703	6977	2933
704	6984	2922
705	6991	2911
706	6995	2899
707	7001	2887
708	7008	2876
709	7013	2864
710	7019	2853
711	7025	2841
712	7031	2830
713	7036	2818
714	7045	2808
715	7051	2796
716	7056	2785
717	7062	2774
718	7070	2763
719	7074	2751
720	7081	2740
721	7087	2729
722	7093	2717
723	7099	2706
724	7104	2694
725	7111	2683
726	7118	2673
727	7122	2661
728	7129	2650
729	7136	2639
730	7142	2628
731	7148	2617
732	7153	2605
733	7159	2594
734	7165	2583
735	7173	2572
736	7177	2561
737	7184	2550
738	7192	2540
739	7196	2528
740	7205	2518
741	7209	2506
742	7215	2495
743	7222	2485
744	7227	2473
745	7233	2462
746	7240	2452
747	7244	2440
748	7250	2429
749	7257	2419
750	7262	2407
751	7270	2397
752	7274	2386
753	7281	2375
754	7288	2365
755	7292	2353
756	7298	2342
757	7305	2332
758	7309	2321
759	7315	2310
760	7323	2299
761	7328	2288
762	7336	2278
763	7340	2267
764	7347	2256
765	7354	2246
766	7358	2235
767	7364	2224
768	7371	2214
769	7376	2203
770	7384	2193
771	7388	2182
772	7394	2171
773	7402	2161
774	7406	2150
775	7412	2139
776	7419	2129
777	7424	2118
778	7430	2108
779	7437	2097
780	7443	2087
781	7450	2077
782	7455	2066
783	7461	2055
784	7468	2045
785	7472	2034
786	7479	2024
787	7486	2014
788	7491	2003
789	7499	1993
790	7503	1982
791	7510	1972
792	7517	1962
793	7521	1951
794	7527	1941
795	7534	1931
796	7539	1920
797	7548	1910
798	7552	1899
799	7559	1889
800	7566	1879
801	7570	1868
802	7576	1858
803	7583	1848
804	7588	1838
805	7593	1827
806	7598	1817
807	7604	1807
808	7612	1797
809	7616	1786
810	7622	1776
811	7629	1766
812	7633	1755
813	7640	1745
814	7647	1735
815	7652	1725
816	7661	1715
817	7665	1705
818	7671	1695
819	7678	1685
820	7683	1675
821	7688	1664
822	7696	1655
823	7702	1645
824	7709	1635
825	7714	1625
826	7720	1615
827	7727	1605
828	7731	1594
829	7737	1584
830	7745	1575
831	7750	1565
832	7758	1555
833	7762	1545
834	7769	1535
835	7776	1525
836	7781	1515
837	7787	1505
838	7794	1495
839	7799	1485
840	7807	1476
841	7811	1465
842	7817	1455
843	7824	1446
844	7829	1436
845	7835	1426
846	7841	1416
847	7845	1406
848	7852	1396
849	7859	1386
850	7864	1377
851	7872	1367
852	7877	1357
853	7883	1347
854	7890	1338
855	7894	1328
856	7900	1318
857	7907	1308
858	7912	1298
859	7921	1289
860	7926	1279
861	7932	1269
862	7939	1260
863	7944	1250
864	7950	1240
865	7957	1231
866	7961	1221
867	7969	1212
868	7974	1202
869	7979	1192
870	7987	1182
871	7991	1173
872	7997	1163
873	8005	1154
874	8010	1144
875	8016	1134
876	8023	1125
877	8030	1115
878	8037	1106
879	8041	1096
880	8048	1087
881	8055	1077
882	8060	1067
883	8066	1058
884	8072	1048
885	8078	1039
886	8085	1030
887	8090	1020
888	8096	1010
889	8103	1001
890	8107	991
891	8113	982
892	8120	973
893	8126	963
894	8132	954
895	8137	944
896	8143	935
897	8149	925
898	8154	916
899	8161	906
900	8168	897
901	8172	887
902	8179	878
903	8186	869
904	8191	859
905	8199	850
906	8203	841
907	8210	831
908	8217	822
909	8221	813
910	8227	803
911	8235	794
912	8239	785
913	8245	775
914	8251	766
915	8256	757
916	8262	747
917	8269	738
918	8275	729
919	8282	720
920	8287	710
921	8293	701
922	8300	692
923	8305	683
924	8313	674
925	8317	664
926	8324	655
927	8330	646
928	8335	637
929	8341	627
930	8348	618
931	8352	609
932	8358	600
933	8366	591
934	8371	581
935	8379	572
936	8383	563
937	8390	554
938	8397	545
939	8401	536
940	8407	527
941	8414	518
942	8420	508
943	8428	499
944	8432	490
945	8439	481
946	8446	472
947	8450	463
948	8456	454
949	8464	445
950	8470	436
951	8477	427
952	8481	418
953	8488	409
954	8495	400
955	8499	391
956	8505	382
957	8512	373
958	8517	364
959	8522	355
960	8530	346
961	8537	337
962	8544	328
963	8548	319
964	8554	310
965	8561	301
966	8565	292
967	8571	283
968	8578	274
969	8584	265
970	8591	256
971	8596	247
972	8602	238
973	8609	229
974	8613	220
975	8620	211
976	8627	203
977	8632	194
978	8640	185
979	8644	176
980	8651	167
981	8657	158
982	8662	149
983	8668	140
984	8675	132
985	8679	123
986	8685	114
987	8692	105
988	8698	96
989	8706	87
990	8710	79
991	8716	70
992	8724	61
993	8728	52
994	8734	43
995	8741	35
996	8746	26
997	8754	17
998	8759	8
999	8765	0
